batch,source,timeline,k,k_wanted,home,M,rho,verdict,gate_loss,expert_loss,central_loss,deltas
2015,gsm8k,TA,2,6,0,88,0.52,ADMIT,0.518,0.0,0.902,e44:+0.026;e49*:-0.094
2016,metamath,TA,2,10,0,128,0.47,HELDOUT,,,,e55:-0.024;e58*:-0.005
2017,camel_science,TA,2,3,2,2,0.37,REFUSE,,,1.031,e15:-2.312;e17*:-3.344
2018,metamath,TB,2,3,1,128,0.49,HELDOUT,,,,e19:-0.033;e59*:-0.005
2019,ultrachat,TB,2,29,2,128,0.38,HELDOUT,,,,e67:-0.007;e72*:-0.137
2020,python_instructions,TB,2,2,1,33,0.58,ADMIT,0.047,,0.222,e63:+0.011;e65*:-0.167
2021,ultrachat,TA,2,35,2,128,0.37,ADMIT,0.082,,1.234,e78:-0.003;e80*:-0.012
2022,github_code,TA,2,2,2,64,0.52,ADMIT,0.263,,0.703,e82:-0.102;e0*:-0.102
2023,camel_science,TA,2,3,2,5,0.37,ADMIT,0.07,0.003,0.926,e15:+0.125;e17*:-0.994
2024,python_instructions,TB,2,4,1,74,0.59,ADMIT,0.562,0.007,0.428,e75:-0.030;e79*:-0.016
2025,slimorca,TB,2,14,2,101,0.41,HELDOUT,,,,e45:-0.023;e67*:-0.095
2026,python_instructions,TA,2,3,1,128,0.58,ADMIT,0.396,,0.762,e83:+0.002;e4*:-0.007
2027,ultrachat,TA,2,11,2,128,0.4,ADMIT,0.001,,0.934,e72:-0.069;e78*:-0.055
2028,gsm8k,TA,2,6,3,63,0.5,ADMIT,0.08,-0.003,0.241,e74:-0.039;e86*:-0.039
2029,ai2_arc,TA,2,7,2,10,0.4,ADMIT,0.072,-0.008,0.082,e80:-0.519;e82*:-0.412
2030,gsm8k,TA,2,6,3,70,0.5,ADMIT,0.346,0.006,0.357,e87:-0.088;e89*:+0.024
2031,metamath,TA,2,6,0,100,0.45,ADMIT,0.549,-0.001,0.301,e96:-0.023;e97*:-0.094
2032,metamath,TA,2,6,3,128,0.47,ADMIT,0.03,-0.001,0.137,e9:-0.055;e11*:-0.027
2033,ai2_arc,TA,2,9,2,12,0.39,ADMIT,0.27,0.018,0.062,e0:-0.292;e15*:-0.344
2034,camel_science,TA,2,3,2,2,0.61,REFUSE,,,0.0,e17:-0.062;e45*:-1.312
2035,camel_science,TB,2,3,2,2,0.61,REFUSE,,,0.0,e67:-2.531;e72*:-0.125
2036,ai2_arc,TA,2,7,2,6,0.41,HELDOUT,,,,e78:-0.917;e80*:-0.396
2037,github_code,TB,2,2,1,47,0.51,HELDOUT,,,,e18:-0.013;e19*:-0.082
2038,ai2_arc,TA,2,5,2,5,0.46,ADMIT,0.319,-0.131,0.025,e82:-0.338;e0*:-0.825
2039,camel_science,TA,2,3,2,2,0.48,REFUSE,,,0.0,e15:-0.250;e17*:-0.656
2040,gsm8k,TA,2,6,3,79,0.47,ADMIT,0.377,-0.001,0.719,e35:-0.066;e38*:-0.039
2041,ai2_arc,TB,2,7,2,2,0.37,HELDOUT,,,,e45:-0.344;e67*:-0.062
2042,python_instructions,TB,2,7,1,121,0.6,ADMIT,0.532,,0.49,e59:-0.010;e63*:+0.002
2043,camel_science,TA,2,3,2,3,0.53,REFUSE,,,3.094,e72:+0.125;e78*:+0.312
2044,metamath,TB,2,4,1,128,0.55,ADMIT,0.05,0.003,0.428,e65:-0.046;e75*:-0.021
2045,ai2_arc,TA,2,10,2,10,0.38,ADMIT,0.036,0.038,0.0,e80:-0.412;e82*:-0.356
2046,camel_science,TA,2,2,2,1,0.6,REFUSE,,,0.0,e0:-1.688;e15*:-1.625
2047,python_instructions,TA,2,2,1,25,0.6,ADMIT,0.091,0.026,0.977,e79:+0.025;e83*:+0.025
2048,slimorca,TB,2,10,1,128,0.44,ADMIT,0.016,-0.05,0.797,e4:-0.001;e18*:-0.039
2049,ai2_arc,TA,2,7,2,9,0.39,ADMIT,0.246,0.01,0.0,e17:-0.278;e45*:-0.583
2050,gsm8k,TA,2,5,3,64,0.46,ADMIT,4.399,-0.002,0.688,e56:-0.097;e74*:-0.066
2051,slimorca,TB,2,8,2,53,0.37,ADMIT,0.525,0.008,1.156,e67:-0.142;e72*:-0.104
2052,ai2_arc,TA,2,6,2,7,0.4,HELDOUT,,,,e78:-0.420;e80*:-0.598
2053,gsm8k,TA,2,7,0,128,0.48,HELDOUT,,,,e14:-0.163;e31*:-0.105
2054,ai2_arc,TA,2,5,2,6,0.37,ADMIT,0.16,,0.0,e82:-0.583;e0*:-0.875
2055,ultrachat,TA,2,24,2,126,0.4,ADMIT,0.048,-0.015,0.973,e15:-0.019;e17*:-0.089
2056,slimorca,TB,2,13,2,2,0.37,REFUSE,,,0.0,e45:-0.594;e67*:-0.906
2057,gsm8k,TA,2,7,0,128,0.54,ADMIT,0.608,0.007,0.449,e40:-0.017;e44*:-0.034
2058,ultrachat,TA,2,27,2,128,0.41,HELDOUT,,,,e72:-0.060;e78*:-0.077
2059,python_instructions,TB,2,4,1,128,0.6,ADMIT,0.229,,0.629,e19:-0.001;e59*:+0.010
2060,github_code,TB,2,3,1,25,0.6,ADMIT,0.109,0.001,0.691,e63:-0.005;e65*:-0.005
2061,camel_science,TA,2,3,2,3,0.37,REFUSE,,,1.586,e80:-1.667;e82*:-1.667
2062,ai2_arc,TA,2,8,2,12,0.42,ADMIT,1.687,0.082,0.0,e15:-0.297;e17*:-0.120
2063,camel_science,TA,2,3,2,2,0.49,REFUSE,,,3.281,e30:-1.281;e39*:-0.688
2064,github_code,TB,2,6,1,47,0.59,ADMIT,0.049,,0.977,e75:-0.072;e79*:-0.112
2065,gsm8k,TB,4,12,3,128,0.53,ADMIT,0.88,,0.332,e86:-0.021;e87:+0.004;e89:-0.048;e9*:-0.021
2066,camel_science,TB,4,4,2,5,0.42,ADMIT,3.565,,2.359,e67:+1.350;e72:+1.288;e78:+1.163;e80*:+1.413
2067,ai2_arc,TB,2,10,2,12,0.37,ADMIT,0.095,0.0,0.031,e82:-0.380;e15*:-0.380
2068,ai2_arc,TA,2,9,2,7,0.4,ADMIT,0.276,,0.0,e17:-0.411;e30*:-0.571
2069,gsm8k,TB,2,10,0,87,0.49,ADMIT,0.003,,0.19,e55:-0.019;e58*:-0.029
2070,camel_science,TB,2,5,2,2,0.61,REFUSE,,,1.438,e39:+1.438;e67*:+1.188
2071,camel_science,TA,2,4,2,1,0.61,REFUSE,,,0.0,e72:-1.750;e78*:-0.938
2072,metamath,TB,2,8,3,74,0.46,ADMIT,0.122,-0.011,0.277,e11:+0.025;e35*:+0.020
2073,metamath,TB,2,10,0,128,0.49,ADMIT,0.819,-0.001,0.33,e61:-0.101;e96*:+0.047
2074,python_instructions,TB,2,6,1,97,0.58,ADMIT,0.152,,0.551,e83:+0.015;e4*:+0.006
2075,gsm8k,TA,2,12,0,128,0.5,ADMIT,0.435,,0.66,e97:-0.095;e14*:-0.033
2076,python_instructions,TB,2,9,1,39,0.61,ADMIT,0.141,,0.439,e18:-0.075;e19*:+0.008
2077,camel_science,TA,2,7,2,2,0.37,REFUSE,,,0.188,e80:+0.188;e82*:+0.125
2078,github_code,TB,2,8,1,112,0.58,HELDOUT,,,,e59:-0.020;e63*:-0.006
2079,gsm8k,TB,2,16,0,128,0.48,ADMIT,1.525,0.007,0.781,e31:-0.013;e40*:-0.054
2080,github_code,TB,2,6,1,10,0.58,ADMIT,0.306,,0.375,e65:-0.038;e75*:-0.094
2081,github_code,TB,2,6,1,29,0.61,ADMIT,0.073,0.013,0.504,e79:-0.034;e83*:+0.041
2082,ultrachat,TA,2,50,3,128,0.39,ADMIT,0.152,,1.859,e38:-0.079;e56*:-0.046
2083,ai2_arc,TB,2,12,2,9,0.39,ADMIT,0.352,0.163,0.0,e15:-0.931;e17*:-0.208
2084,metamath,TB,2,8,3,128,0.47,ADMIT,0.209,0.002,0.395,e74:-0.040;e86*:-0.050
2085,ultrachat,TB,2,60,3,128,0.41,ADMIT,0.837,,1.5,e87:+0.011;e89*:+0.031
2086,slimorca,TA,2,38,2,122,0.4,ADMIT,0.412,,1.094,e25:-0.047;e39*:-0.061
2087,metamath,TB,2,16,0,128,0.48,ADMIT,0.645,0.006,0.103,e44:-0.080;e55*:-0.030
2088,ai2_arc,TB,2,9,2,5,0.42,ADMIT,0.496,-0.05,0.0,e67:-0.138;e72*:-0.875
2089,ai2_arc,TA,2,12,2,10,0.39,ADMIT,0.107,0.059,0.746,e78:-0.194;e80*:-0.256
2090,metamath,TB,2,6,3,63,0.45,ADMIT,0.291,,0.097,e9:-0.160;e11*:-0.128
2091,metamath,TA,2,10,2,86,0.45,ADMIT,0.164,-0.007,0.204,e82:-0.018;e15*:-0.078
2092,python_instructions,TB,2,8,1,128,0.6,ADMIT,0.044,,1.211,e4:+0.056;e18*:+0.007
2093,metamath,TA,2,8,3,101,0.49,HELDOUT,,,,e35:-0.037;e38*:-0.037
2094,metamath,TA,2,11,3,122,0.45,HELDOUT,,,,e56:-0.085;e74*:-0.027
2095,ultrachat,TA,2,30,2,128,0.39,ADMIT,0.684,,1.453,e17:-0.012;e25*:-0.015
2096,metamath,TB,2,7,1,58,0.51,ADMIT,0.092,0.0,0.086,e19:-0.164;e59*:-0.123
2097,slimorca,TB,2,11,2,35,0.41,ADMIT,0.115,,0.562,e39:-0.355;e67*:-0.355
2098,gsm8k,TA,2,9,0,59,0.53,ADMIT,1.311,-0.018,0.418,e58:-0.067;e61*:-0.097
2099,slimorca,TB,2,24,0,128,0.4,ADMIT,0.798,-0.002,0.191,e96:-0.079;e97*:-0.101
2100,ai2_arc,TA,2,15,2,12,0.41,ADMIT,0.163,-0.038,0.0,e72:-0.125;e78*:-0.125
2101,camel_science,TA,2,4,2,2,0.61,HELDOUT,,,,e80:-0.062;e82*:-1.344
2102,gsm8k,TB,2,8,3,114,0.49,HELDOUT,,,,e86:-0.003;e87*:-0.064
2103,slimorca,TB,2,69,3,24,0.45,ADMIT,0.116,0.023,2.656,e89:+0.062;e11*:+0.122
2104,camel_science,TA,2,7,2,4,0.43,HELDOUT,,,,e9:-0.031;e15*:-0.062
